feature,214_feats_14.17_rmse,155_feats_12.48_rmse,77_feats_8.86_rmse,254_feats_16.25_rmse,193_feats_12.63_rmse,24_feats_15.47_rmse,81_feats_8.01_rmse,85_feats_6.99_rmse,88_feats_7.67_rmse,151_feats_11.32_rmse
AATS0e,1,0,0,1,1,0,0,0,0,1
AATS0m,1,1,0,0,0,0,0,0,1,1
AATS0s,0,1,0,1,0,0,0,0,0,0
AATS1e,1,0,0,1,1,0,0,0,0,0
AATS1e*AATSC2c,1,1,0,1,1,0,0,1,0,1
AATS1e*ATSC2c,1,1,0,1,1,0,1,1,0,1
AATS1e*MATS2c,1,0,0,1,1,0,1,0,1,1
AATS1i,0,0,0,0,0,0,0,1,0,0
AATS1m,1,1,0,0,0,0,0,0,0,1
AATS2e,1,0,1,1,0,0,0,0,0,0
AATS2m,1,1,0,0,0,0,0,0,0,1
AATS2s,1,0,0,1,0,0,1,0,0,1
AATS2s*ATSC2c,0,0,0,1,0,1,0,0,0,0
AATS3i,0,0,0,0,0,0,0,0,0,0
AATS3s,1,1,0,1,1,0,0,1,1,1
AATS4e,0,0,0,0,0,0,0,0,0,0
AATS4m,1,1,0,0,1,0,0,0,1,1
AATS4s,0,0,0,0,0,0,1,0,0,0
AATS5e,0,0,0,0,0,0,0,0,0,0
AATS5m,1,1,1,1,1,0,0,0,0,0
AATS5s,0,0,0,0,0,0,0,0,0,0
AATS6e,0,0,0,0,0,0,0,0,0,0
AATS8i,0,0,1,1,1,0,0,0,0,0
AATSC0c,1,1,1,1,1,0,0,0,0,1
AATSC0c*AATSC2c,1,0,0,1,0,0,0,0,0,1
AATSC0c*ETA_dEpsilon_D,1,0,0,1,1,0,0,0,0,1
AATSC0c*GATS4v,1,1,0,1,1,0,0,1,0,1
AATSC0c*MATS2c,1,1,0,1,1,0,1,1,0,1
AATSC0i,1,1,1,1,1,0,1,1,1,1
AATSC0m,1,1,0,0,0,0,0,0,1,1
AATSC0p,0,0,0,0,0,0,0,0,1,0
AATSC0s,0,0,0,1,0,0,0,0,0,0
AATSC1c,1,1,1,1,1,0,0,0,0,1
AATSC1c*AATSC2c,1,0,0,1,0,0,0,0,0,1
AATSC1c*AATSC2i,0,0,0,0,0,0,0,0,0,0
AATSC1c*AATSC4v,1,1,0,1,1,0,1,1,1,1
AATSC1c*ETA_EtaP_B_RC,0,0,0,1,0,0,0,0,0,0
AATSC1c*ETA_dEpsilon_D,1,0,0,1,1,0,0,0,0,1
AATSC1c*GATS1c,1,1,1,1,1,0,0,0,0,1
AATSC1c*GATS3i,1,1,1,1,1,0,1,1,1,1
AATSC1c*GATS3p,0,0,0,1,1,0,0,0,0,1
AATSC1c*GATS4v,1,1,0,1,1,0,0,0,0,1
AATSC1c*JGI4,0,0,0,0,0,0,0,0,0,1
AATSC1c*MATS1c,1,1,1,1,1,0,0,0,1,1
AATSC1c*MATS2c,1,1,0,1,1,0,0,0,0,1
AATSC1c*MATS2s,1,0,0,1,1,0,0,0,0,0
AATSC1c*MATS4v,1,1,0,1,1,0,1,0,0,1
AATSC1c*minHBd,0,0,0,0,0,0,0,0,0,0
AATSC1m,0,0,0,0,0,0,0,0,0,0
AATSC1s,1,0,0,1,0,0,0,0,0,0
AATSC1s*GATS1c,1,0,0,1,0,0,0,0,0,0
AATSC1s*GATS3p,0,0,0,1,0,0,0,0,0,0
AATSC1s*MATS2s,1,0,0,1,0,0,1,1,0,0
AATSC1s*minHBd,0,0,0,1,0,0,1,0,0,0
AATSC2c,1,1,0,1,1,0,1,1,0,1
AATSC2c*AATSC3s,1,1,0,1,0,0,0,1,0,1
AATSC2c*ETA_dEpsilon_A,1,1,0,1,1,0,0,0,0,1
AATSC2c*ETA_dEpsilon_D,0,0,0,0,0,0,0,0,0,0
AATSC2c*GATS2e,0,0,0,1,0,0,0,0,0,0
AATSC2c*LipoaffinityIndex,1,1,1,1,1,0,1,1,0,1
AATSC2c*MATS1c,1,1,0,1,1,0,0,0,0,1
AATSC2c*MATS2c,0,0,0,0,0,0,0,0,0,0
AATSC2c*MDEN-23,0,0,0,0,0,0,0,0,0,0
AATSC2c*Mpe,1,1,0,1,1,0,0,1,0,1
AATSC2c*Mse,1,1,0,1,1,0,0,1,0,1
AATSC2c*SssCH2,0,0,0,0,0,0,0,0,0,0
AATSC2c*SsssN,0,0,0,0,0,0,0,0,0,0
AATSC2c*maxssCH2,0,0,0,0,0,0,0,0,0,0
AATSC2c*maxsssN,0,0,0,0,0,0,0,1,0,0
AATSC2c*minssCH2,0,0,0,0,0,0,0,0,0,0
AATSC2c*minsssN,0,0,0,0,0,0,0,1,0,0
AATSC2e,1,0,0,1,0,0,0,0,0,1
AATSC2i,1,1,0,1,1,0,0,0,0,0
AATSC2m,0,0,0,1,1,0,0,0,0,0
AATSC2m*SsBr,0,1,0,1,1,0,0,0,0,0
AATSC2m*maxsBr,1,1,0,1,1,0,0,1,0,0
AATSC2m*minsBr,1,1,0,1,1,0,0,1,0,0
AATSC2p,0,0,0,0,1,0,0,0,0,0
AATSC2s,0,0,0,1,0,0,0,0,0,0
AATSC3e,1,0,0,1,0,0,0,0,0,0
AATSC3e*JGI4,1,0,0,1,0,0,0,0,0,0
AATSC3e*minHBd,0,0,0,0,0,1,0,0,0,0
AATSC3i,0,0,0,0,0,0,0,0,0,0
AATSC3i*GATS8e,0,0,0,0,0,0,1,0,0,0
AATSC3i*MATS3i,0,0,0,0,0,1,0,0,0,0
AATSC3i*MATS3p,0,0,0,0,0,0,0,0,0,0
AATSC3p,0,0,0,0,0,0,0,0,0,0
AATSC3p*MATS3p,0,0,0,0,0,0,0,0,0,0
AATSC3s,1,1,1,1,1,0,0,1,0,1
AATSC4e,1,0,0,0,0,0,0,0,1,0
AATSC4e*ETA_dPsi_A,0,0,0,0,0,0,0,0,0,0
AATSC4e*GATS1m,1,0,0,0,0,0,0,1,1,0
AATSC4i,0,0,0,1,0,0,0,0,0,0
AATSC4m,0,0,0,0,0,0,0,0,0,0
AATSC4v,1,0,0,1,1,0,0,0,0,0
AATSC4v*AATSC2i,0,0,0,1,1,0,0,1,0,0
AATSC4v*ETA_dEpsilon_D,1,0,0,0,0,0,0,0,0,0
AATSC4v*GATS1c,1,1,0,1,1,0,0,0,0,0
AATSC4v*GATS3p,1,0,0,1,1,0,0,0,0,0
AATSC4v*GATS4v,1,1,0,1,1,0,1,1,1,0
AATSC4v*JGI4,1,0,0,1,1,0,0,0,0,0
AATSC4v*minHBd,0,1,0,0,0,0,0,0,0,0
AATSC5m,0,0,0,0,0,0,0,0,0,0
AATSC5p,1,1,0,1,0,0,0,0,0,0
AATSC6c,0,0,0,0,0,0,0,0,0,0
AATSC6e,0,0,0,0,0,0,0,0,0,0
AATSC6i,0,0,0,0,0,0,0,0,0,0
AATSC6m,1,1,0,1,1,0,1,1,0,1
AATSC6p,0,1,0,1,1,0,1,1,1,1
AATSC6s,0,0,0,0,0,0,0,0,0,0
AATSC7p,0,0,0,0,0,0,0,0,0,0
AATSC7v,0,0,0,0,0,0,0,0,0,0
AATSC8e,0,0,0,1,1,0,0,0,0,1
AATSC8s,1,1,1,1,1,0,0,1,1,1
AMW,1,1,0,0,0,0,0,0,0,1
ATSC0c,0,0,0,0,0,0,0,0,0,0
ATSC0c*SHBint10,0,0,0,0,0,0,0,0,0,1
ATSC0c*minHBint10,0,0,0,0,0,0,0,0,0,0
ATSC0e,1,0,0,1,1,0,0,0,0,0
ATSC0m,1,1,1,0,0,0,0,0,0,0
ATSC0m*maxsBr,0,0,0,1,1,0,0,0,0,0
ATSC0m*minsBr,0,0,0,1,1,0,0,0,0,0
ATSC0s,1,1,0,1,1,0,0,0,0,0
ATSC1e,1,0,0,1,0,0,0,0,0,0
ATSC1m,0,0,0,0,0,0,0,0,0,0
ATSC2c,1,1,0,1,1,0,1,1,0,1
ATSC2c*AATSC1c,0,0,0,1,0,1,0,0,0,0
ATSC2c*AATSC2c,0,0,0,0,0,0,0,0,0,0
ATSC2c*ETA_dEpsilon_A,1,0,0,1,1,0,0,0,0,1
ATSC2c*ETA_dEpsilon_D,0,0,0,0,0,1,0,0,0,0
ATSC2c*GATS2e,0,0,0,0,0,0,0,0,0,0
ATSC2c*MATS1c,1,1,0,1,1,0,0,0,0,1
ATSC2c*MATS2c,0,0,1,1,1,0,0,0,0,0
ATSC2c*MDEN-23,0,0,0,0,0,0,0,0,0,0
ATSC2c*Mpe,1,1,0,1,1,0,1,1,1,1
ATSC2c*Mse,1,1,0,1,1,0,1,1,1,1
ATSC2c*SsssN,0,0,0,0,0,0,0,0,0,0
ATSC2c*maxsssN,0,0,0,0,0,0,0,0,0,0
ATSC2c*minssCH2,0,0,1,1,1,0,0,0,0,1
ATSC2c*minsssN,0,0,0,0,0,0,0,0,0,0
ATSC2e,1,1,0,1,1,0,0,0,0,0
ATSC2i,1,1,0,1,1,0,1,1,1,1
ATSC2m,0,0,0,0,1,0,0,0,0,0
ATSC2m*SsBr,0,0,0,1,1,0,0,0,0,0
ATSC2m*maxsBr,0,0,0,1,1,0,0,0,0,0
ATSC2m*minsBr,0,0,0,1,1,0,0,0,0,0
ATSC2p,0,0,0,0,0,0,0,0,0,0
ATSC2s,1,0,0,1,0,0,0,0,0,0
ATSC2v,0,0,0,1,0,0,0,0,0,0
ATSC3e,0,0,0,0,0,0,0,0,0,0
ATSC3e*GATS3p,0,0,0,0,0,0,0,0,0,0
ATSC3e*minHBd,0,0,0,0,0,0,0,0,0,0
ATSC3i,0,0,0,0,0,0,0,0,0,0
ATSC3m,0,0,0,0,0,0,0,0,0,0
ATSC3p,0,0,0,0,0,0,0,0,0,0
ATSC3p*MATS3p,0,0,0,0,0,0,0,0,0,0
ATSC3s,1,1,1,1,1,0,1,1,1,1
ATSC3v,0,0,0,0,0,0,0,0,0,0
ATSC4e,0,0,0,0,0,0,0,0,0,0
ATSC4p,0,0,0,1,0,0,0,0,0,0
ATSC4p*AATSC0c,1,1,0,1,1,0,1,0,0,0
ATSC4p*AATSC2i,0,0,0,0,0,0,0,0,0,1
ATSC4p*ATSC6p,0,0,0,0,0,0,0,0,0,0
ATSC4p*ETA_dEpsilon_D,0,0,0,0,0,0,0,0,0,0
ATSC4p*GATS1c,0,0,0,1,0,0,0,0,0,0
ATSC4p*JGI4,1,1,0,1,1,0,1,0,0,0
ATSC4p*maxHBint10,0,0,0,0,0,0,0,0,0,0
ATSC4p*minHBd,0,0,0,0,0,0,0,0,0,0
ATSC4s,0,0,0,0,0,0,0,0,0,0
ATSC4v,1,0,0,0,0,1,0,0,0,0
ATSC4v*AATSC2i,0,0,0,0,0,0,0,0,0,0
ATSC4v*ATSC2i,0,0,0,0,0,0,0,0,0,0
ATSC4v*ATSC6p,0,0,0,0,0,0,0,0,0,0
ATSC4v*ETA_dEpsilon_D,1,0,0,0,0,0,0,0,0,0
ATSC4v*ETA_dPsi_A,1,0,0,0,0,0,0,0,0,0
ATSC4v*JGI4,0,0,0,0,0,0,0,0,0,0
ATSC4v*SHBint10,0,0,0,0,0,0,0,0,0,1
ATSC4v*maxHBint10,0,0,0,0,0,0,0,0,0,0
ATSC4v*maxdO,1,1,1,1,1,0,0,0,0,1
ATSC4v*minHBd,0,0,0,0,0,0,0,0,0,0
ATSC4v*mindO,1,1,1,1,1,0,0,0,0,1
ATSC5c,0,0,0,0,0,1,0,0,0,0
ATSC5e,0,0,0,0,0,0,0,0,0,0
ATSC5i,0,0,0,0,0,0,0,0,0,0
ATSC5p,0,1,0,0,0,0,0,0,1,1
ATSC5s,0,0,0,0,0,0,0,0,0,0
ATSC5v,0,0,0,0,0,0,0,0,0,0
ATSC6c,1,1,1,1,1,0,1,1,0,1
ATSC6e,1,0,0,1,1,0,1,0,1,1
ATSC6m,1,1,0,1,0,0,0,0,1,0
ATSC6m*ATSC7p,0,0,1,0,0,0,0,0,0,0
ATSC6p,0,0,0,0,0,0,0,0,0,0
ATSC6p*ATSC7p,0,0,0,0,0,1,0,0,0,0
ATSC6p*GATS2e,0,0,0,0,0,0,0,0,0,0
ATSC6p*MATS1c,0,0,0,0,0,0,0,0,0,0
ATSC6p*MDEN-23,0,0,0,0,0,0,0,0,0,0
ATSC6p*SsssN,0,0,0,0,0,0,0,0,0,0
ATSC6p*maxsssN,0,0,0,0,0,0,0,0,0,0
ATSC6p*minsssN,0,0,0,0,0,0,0,0,0,0
ATSC6s,0,0,0,0,0,0,0,0,0,0
ATSC6v,0,0,0,0,0,0,1,0,0,0
ATSC6v*AATSC1c,0,0,0,1,0,0,0,0,0,0
ATSC6v*AATSC1s,0,0,0,0,0,0,0,0,0,0
ATSC6v*AATSC2c,0,0,0,0,0,0,0,0,0,0
ATSC6v*ATSC4p,0,0,0,0,0,0,0,0,0,0
ATSC6v*ATSC7p,0,0,0,0,0,0,0,0,0,0
ATSC6v*GATS2e,0,0,0,0,0,0,0,0,0,0
ATSC6v*LipoaffinityIndex,0,0,0,0,0,1,0,0,0,0
ATSC6v*MATS1c,1,1,0,0,0,0,0,0,1,0
ATSC6v*MATS2c,0,0,0,0,0,0,0,0,0,0
ATSC6v*MDEN-23,0,0,0,0,0,0,0,0,0,0
ATSC6v*SsssN,0,0,0,0,0,0,0,0,0,0
ATSC6v*maxssCH2,0,0,0,0,0,0,0,0,0,0
ATSC6v*maxsssN,0,0,0,0,0,0,0,0,0,0
ATSC6v*minssCH2,0,0,0,0,0,0,0,0,0,0
ATSC6v*minsssN,0,0,0,0,0,0,0,0,0,0
ATSC7m,0,0,0,0,0,0,0,0,0,0
ATSC7p,0,0,0,0,0,0,0,0,0,0
ATSC7v,0,0,0,0,0,0,0,0,0,0
ATSC8c,0,0,0,0,0,0,0,0,0,0
ATSC8c*maxHBint10,0,1,0,0,0,0,0,1,1,1
ATSC8e,0,0,1,1,1,0,0,0,0,0
ATSC8i,1,0,1,1,1,0,1,0,0,1
ATSC8m,0,0,0,0,0,0,0,0,0,0
ATSC8s,1,1,1,1,1,0,1,1,1,1
ATSC8v,0,0,0,0,0,0,0,0,0,0
BIC1,1,1,0,1,1,0,0,1,1,1
BIC2,1,1,0,1,0,0,0,0,0,0
CIC1,1,1,0,1,0,0,0,0,0,0
CIC2,1,1,0,1,0,0,0,0,0,0
DELS,1,0,0,1,1,0,0,0,0,0
DELS2,1,0,0,1,1,0,0,0,0,0
ETA_AlphaP,1,1,0,0,0,0,0,0,0,0
ETA_BetaP_ns_d,0,0,0,0,0,0,0,0,0,0
ETA_Epsilon_2,1,0,0,1,0,0,0,0,0,0
ETA_Epsilon_4,1,1,0,1,1,0,0,0,1,1
ETA_EtaP,1,0,0,1,0,0,0,0,0,0
ETA_EtaP_B_RC,0,0,0,0,0,0,0,0,0,0
ETA_Eta_B,0,0,0,0,0,0,0,0,0,0
ETA_Eta_L,0,0,0,0,0,0,0,0,0,0
ETA_Psi_1,1,0,0,0,0,0,0,0,0,0
ETA_Psi_1*ETA_dPsi_A,1,0,0,0,0,0,0,0,0,0
ETA_dAlpha_A,1,1,1,0,0,0,0,0,0,1
ETA_dAlpha_B,0,0,0,0,0,1,0,0,0,0
ETA_dEpsilon_A,1,1,0,1,1,0,1,1,0,1
ETA_dEpsilon_C,1,1,0,1,1,0,0,0,0,1
ETA_dEpsilon_D,1,1,0,1,1,0,0,0,0,1
ETA_dEpsilon_D*ETA_EtaP_B_RC,1,0,0,1,1,0,0,0,1,1
ETA_dEpsilon_D*IC0,1,1,0,1,1,0,0,0,0,1
ETA_dEpsilon_D*JGI4,1,1,0,1,1,0,0,1,0,1
ETA_dPsi_A,1,0,0,0,0,0,0,0,0,0
GATS1c,1,0,0,0,0,0,0,0,0,0
GATS1c*ETA_dEpsilon_A,1,1,1,1,1,0,1,1,1,1
GATS1c*ETA_dEpsilon_D,1,0,0,1,1,0,0,0,0,1
GATS1c*Mpe,1,0,1,1,0,0,1,0,0,0
GATS1c*Mse,1,0,1,1,0,0,0,0,0,0
GATS1m,1,0,0,0,0,0,1,0,0,0
GATS1p,1,0,0,0,0,0,0,0,0,0
GATS2e,1,0,1,1,1,0,1,0,1,1
GATS2i,1,1,0,1,1,0,0,0,1,1
GATS2p,0,0,0,0,0,0,0,0,0,0
GATS2s,0,0,0,0,0,0,0,0,0,0
GATS2s*minHBd,0,0,0,0,0,0,1,0,0,0
GATS2v,0,0,0,0,0,0,0,0,0,0
GATS3i,0,0,0,0,0,0,0,0,0,0
GATS3i*maxsssN,0,0,0,0,0,0,0,0,0,0
GATS3i*minsssN,0,0,0,0,0,0,0,0,0,1
GATS3p,0,0,0,0,0,0,0,0,0,0
GATS3s,0,0,0,0,0,0,0,0,0,0
GATS4e,0,0,0,0,0,0,0,0,0,0
GATS4s,0,0,0,0,0,0,1,0,0,0
GATS4v,1,1,0,1,1,0,0,0,0,1
GATS4v*ETA_Epsilon_4,1,1,0,1,1,0,0,1,1,1
GATS4v*ETA_dEpsilon_A,1,1,0,1,1,0,1,1,1,1
GATS4v*ETA_dEpsilon_D,1,0,0,1,1,0,0,0,0,1
GATS4v*IC0,0,0,0,1,1,0,0,0,0,0
GATS4v*JGI4,1,1,0,1,1,0,0,0,1,1
GATS4v*Mpe,1,1,0,1,1,0,0,0,1,1
GATS4v*Mse,1,1,0,1,1,0,0,0,0,1
GATS5c,0,0,0,0,0,1,0,0,0,0
GATS5e,0,0,0,0,0,0,0,0,0,0
GATS5m,0,1,0,1,0,0,1,1,0,0
